Fecha,Producto bruto interno y demanda interna (índice 2007 = 100) - PBI,Bolsa de Valores de Lima - Montos Negociados en Bolsa (millones S/),Bolsa de Valores de Lima - Índices Bursátiles - Índice General BVL (base 31/12/91 = 100),Bolsa de Valores de Lima - Índices Bursátiles - Índice Selectivo BVL (base 31/12/91 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Financial (base 30/10/98 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Industrial (base 30/10/98 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Mining (base 30/10/98 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Services (base 30/10/98 = 100)
Nov06,94.78742123,1951.67,11482.41,19775.64,n.d.,n.d.,n.d.,n.d.
Dic06,99.41835876,2680.34,12884.2,22159.28,n.d.,n.d.,n.d.,n.d.
Ene07,89.95256199,5488.09,13633.78,22923.06,n.d.,n.d.,n.d.,n.d.
Feb07,88.66810221,2142.021,15150.74,25811.32,n.d.,n.d.,n.d.,n.d.
Mar07,96.72143463,2255.419,17152.82,28712.48,n.d.,n.d.,n.d.,n.d.
Abr07,96.63641931,3640.569,20674.78,34983.65,n.d.,n.d.,n.d.,n.d.
May07,104.7466788,4587.33,20129.5,34993.84,n.d.,n.d.,n.d.,n.d.
Jun07,101.2545686,2981.17,22365.9,39314.13,n.d.,n.d.,n.d.,n.d.
Jul07,102.5451392,3091.505,23418.17,41567.61,n.d.,n.d.,n.d.,n.d.
Ago07,100.1286684,4155.487,20846.26,36632.85,n.d.,n.d.,n.d.,n.d.
Sep07,100.2404207,2345.59,21823.44,37711.68,n.d.,n.d.,n.d.,n.d.
Oct07,103.1513308,2492,21696.27,37607.87,n.d.,n.d.,n.d.,n.d.
Nov07,104.0996969,2134.21,18255.97,30717.9,n.d.,n.d.,n.d.,n.d.
Dic07,111.8549784,3540.54,17524.79,29035.46,n.d.,n.d.,n.d.,n.d.
Ene08,98.51248792,1616.46,15009.98,23907,n.d.,n.d.,n.d.,n.d.
Feb08,100.6766341,1464.64,17766.94,29134.66,n.d.,n.d.,n.d.,n.d.
Mar08,104.0880232,1419.4,17387.47,28923.95,n.d.,n.d.,n.d.,n.d.
Abr08,110.247082,2290.85,17429.94,29250.94,n.d.,n.d.,n.d.,n.d.
May08,112.0853294,1693.37,17130.79,28055.15,n.d.,n.d.,n.d.,n.d.
Jun08,112.1799389,2082.18,16293.97,26913.05,n.d.,n.d.,n.d.,n.d.
Jul08,112.3011164,1816.59,13765.45,22422.54,n.d.,n.d.,n.d.,n.d.
Ago08,108.8899938,2646.79,13287.42,22529.9,n.d.,n.d.,n.d.,n.d.
Sep08,110.7407406,1554.19,11248.42,18949.72,n.d.,n.d.,n.d.,n.d.
Oct08,111.6552981,3114.86,7055.04,11432.07,n.d.,n.d.,n.d.,n.d.
